Nombre,Título Original,Versión/Subtítulo,Año,Duración,Categoría de Scoring,Instrumentación Detallada,Fecha de Estreno,Lugar de Estreno,Ciudad de Estreno,Intérpretes del Estreno,Encargos / Ayudas,Notas Adicionales
César Camarero,MONÓLOGO 5,Vasos comunicantes,2022,7',Solo,vla,N/D,N/D,N/D,N/D,N/D,N/D
César Camarero,INVENCIÓN 1,Les adieux,2022,6'-9',Vocal,"fl, cl o tpt, vln, vla o perc, vcl, pno (msop opcional)",20-05-2022,Espacio Turina,"Sevilla, España",Taller Sonoro y Zahir Ensemble,N/D,Concierto In Memoriam Paco Ramos. Duración indeterminada.
César Camarero,TIDE TRACKS,-,2022,7',Dúo,2 vln,N/D,N/D,N/D,N/D,N/D,N/D
César Camarero,"ÓRBITAS, ARISTAS Y DESINTEGRACIONES",-,2021,15',Orquesta,"sax solista, banda, fl, ob, 6 cl, fg, 3 sax, fiscorno, 2 tpa, 2 tpt, 2 tbn, bombardino, tuba, 3 perc",N/D,N/D,N/D,N/D,INAEM-Ministerio de Cultura,Para el festival Encuentros Sonoros.
César Camarero,ES LO CONTRARIO,Ópera hablada,2021,60',Escénica,12 músicos y dispositivo de audio,13-05-2021,Teatro de la Maestranza,"Sevilla, España","Zahir Ensemble, dir. Juan García Rodríguez",Teatro de la Maestranza,"Versión libre de ""Los Ciegos"" de Maeterlinck y textos de J.E. Cirlot. Estreno en Madrid: Teatros del Canal (21-05-2021)."
César Camarero,KLANGFARBENPHONIE 3,-,2021,13',Ensemble,"pno solista, fl, cl, vln, vcl",23-03-2021,Auditorio CICUS,"Sevilla, España","Zahir Ensemble, dir. Juan García",INAEM para Zahir Ensemble,N/D
César Camarero,DECOLLAGE POLIEDRO,-,2021,25',Trío,"vln, vcl, pno",N/D,N/D,N/D,N/D,Consejería de Cultura (Junta de Andalucía),N/D
César Camarero,MONÓLOGO 4,Desde el confinamiento,2020,2'45'',Solo,pno,22-04-2021,YouTube,Digital,Alberto Rosado,N/D,N/D
César Camarero,17 MANERAS DE MIRAR UN VASO DE AGUA,-,2020,13'',Ensemble,"cl, sax alto, vln, vla, perc, pno",N/D,N/D,N/D,N/D,N/D,N/D
César Camarero,ES PRECISO EXTENDER EL DESIERTO...,En recuerdo de José Luis de Delás,2019,6',Dúo,"cl, vcl",N/D,N/D,N/D,N/D,N/D,"Título completo: ""...de la sombra hasta las orillas del huracán""."
César Camarero,UN TREN DE IMÁGENES DEJA UNA ESTELA...,-,2019,17',Coral,coro de 12 voces mixtas,10-04-2019,Iglesia del Salvador (FEMAS),"Sevilla, España","Ensemble Vocal Kea, dir. Enrique Azurza",Festival de Música Antigua de Sevilla (FEMAS),"Título completo: ""...fugaz sobre el horizonte""."
César Camarero,VIAJE AL INTERIOR DE UN SEGUNDO,-,2019,12'20'',Ensemble,"fl, cl, vln, vcl, pno",14-10-2019,Espacio Turina,"Sevilla, España","Plural Ensemble, dir. Fabián Panisello",INAEM para Plural Ensemble,Estreno en el Festival de Ensembles.
César Camarero,NO LONGER,-,2018,13',Vocal,"voz femenina, fl, cl, perc, pno",05-11-2018,Auditorio 400 (MNCARS),"Madrid, España",Glass Farm Ensemble,CNDM,"Texto de Paul Auster. Estreno en EE.UU.: Symphony Space, NY (24-11-2018)."
César Camarero,CONSERVABA EN LA RETINA EL NEGATIVO...,-,2018,20',Vocal,"actor, vln, vcl, pno",15-12-2018,Centro Conde Duque,"Madrid, España","Trío Arbós, Raúl Marcos (actor)",Proyecto Epos,"Texto de Menchu Gutiérrez. Título: ""...de la imagen circular""."
César Camarero,TAUPADAK,-,2018,10',Dúo,"txistu, aco",08-12-2018,Iglesia de San Francisco,"Durango, España","Aitor Amilibia, Josean Hontoria",Silboberri,N/D
César Camarero,CONTORNOS ENTRE LA LUZ Y LA SOMBRA,-,2018,12'3'',Ensemble,"2 fl, 2 ob, 2 cl (cl 2 dbl. cl b), tpt, 2 tbn, 2 perc, pno, 3 vln, vla, vcl",28-02-2018,Teatro Central,"Sevilla, España","Ensemble Barenboim-Said, dir. Fabián Panisello",Fundación Barenboim-Said,Estreno en el Ciclo Músicas Contemporáneas.
